"Over The Hills And F" 	25.5 	105799
"D'yer Mak'er" 	23 	113792
"Ramble On" 	21.5 	165183
"Fool In The Rain" 	21.5 	42879
"Stairway To Heaven" 	18.5 	405661
"Going To California" 	17.5 	155178
"Kashmir" 	17.5 	187540
"What Is And What Sho" 	17 	92177
"Hey Hey What Can I D" 	17 	27775
"Rock And Roll" 	16.5 	206413
"Black Dog" 	16 	241695
"Immigrant Song" 	15.5 	249605
"Trampled Under Foot" 	15 	76146
"The Ocean" 	14 	75338
"All My Love" 	13 	95381
"Heartbreaker" 	13 	152529
"Whole Lotta Love" 	12 	234475
"Thank You" 	1.5 	89606
"Misty Mountain Hop" 	1.5 	112768
"Houses Of The Holy" 	1.5 	77029
"Moby Dick" 	1 	87901
"No Quarter" 	1 	119047
"Out On The Tiles" 	1 	54949
"Down By The Seaside" 	1 	42304
"Gallows Pole" 	1 	79404
"Candy Store Rock" 	1 	26000
"The Rain Song" 	1 	93419
"You Shook Me" 	1 	90429
"Bron-Y-Aur Stomp" 	1 	67560
