"Bargain" 	24 	29536
"Pinball Wizard" 	22 	68514
"Behind Blue Eyes" 	20 	84856
"Baba O'riley" 	18 	137227
"Squeeze Box" 	18 	32433
"Who Are You" 	17.5 	84086
"You Better You Bet" 	17 	27635
"My Generation" 	15.5 	110767
"Long Live Rock" 	7 	5879
"Going Mobile" 	6.5 	15424
"Eminence Front" 	4 	47634
"Won't Get Fooled Aga" 	2.5 	68369
"Join Together" 	1 	11158
"Happy Jack" 	1 	28289
"The Song Is Over" 	1 	15128
"Another Tricky Day" 	0.5 	3372
"I Can See For Miles" 	0.5 	69145
"5:15" 	0.5 	20619
"Magic Bus" 	0.5 	31678
"Athena" 	0.5 	3557
